time,price,bidVolume,askVolume
2026-07-16T02:28:00.000Z,29689,10,9
2026-07-16T02:28:00.000Z,29689.25,5,7
2026-07-16T02:28:00.000Z,29689.5,17,6
2026-07-16T02:28:00.000Z,29689.75,12,7
2026-07-16T02:28:00.000Z,29690,7,15
2026-07-16T02:28:00.000Z,29690.25,15,6
2026-07-16T02:28:00.000Z,29690.5,8,10
2026-07-16T02:28:00.000Z,29690.75,2,6
2026-07-16T02:28:00.000Z,29691,4,12
2026-07-16T02:28:00.000Z,29691.25,1,3
2026-07-16T02:28:00.000Z,29691.5,0,3
2026-07-16T02:28:00.000Z,29691.75,0,1
2026-07-16T02:29:00.000Z,29689.5,1,0
2026-07-16T02:29:00.000Z,29689.75,1,0
2026-07-16T02:29:00.000Z,29690,2,1
2026-07-16T02:29:00.000Z,29690.25,7,2
2026-07-16T02:29:00.000Z,29690.5,3,6
2026-07-16T02:29:00.000Z,29690.75,6,2
2026-07-16T02:29:00.000Z,29691,0,4
2026-07-16T02:29:00.000Z,29691.25,0,14
2026-07-16T02:29:00.000Z,29691.5,5,7
2026-07-16T02:29:00.000Z,29691.75,14,0
2026-07-16T02:29:00.000Z,29692,6,2
2026-07-16T02:29:00.000Z,29692.25,11,6
2026-07-16T02:29:00.000Z,29692.5,20,3
2026-07-16T02:29:00.000Z,29692.75,23,0
2026-07-16T02:29:00.000Z,29693,35,20
2026-07-16T02:29:00.000Z,29693.25,15,31
2026-07-16T02:29:00.000Z,29693.5,18,20
2026-07-16T02:29:00.000Z,29693.75,8,29
2026-07-16T02:29:00.000Z,29694,15,37
2026-07-16T02:29:00.000Z,29694.25,4,16
2026-07-16T02:29:00.000Z,29694.5,7,17
2026-07-16T02:29:00.000Z,29694.75,2,11
2026-07-16T02:29:00.000Z,29695,3,17
2026-07-16T02:29:00.000Z,29695.25,2,2
2026-07-16T02:29:00.000Z,29695.5,0,2
2026-07-16T02:29:00.000Z,29695.75,5,4
2026-07-16T02:29:00.000Z,29696,4,6
2026-07-16T02:29:00.000Z,29696.25,5,3
2026-07-16T02:29:00.000Z,29696.5,8,6
2026-07-16T02:29:00.000Z,29696.75,1,7
2026-07-16T02:29:00.000Z,29697,0,5
2026-07-16T02:29:00.000Z,29697.25,0,4
2026-07-16T02:30:00.000Z,29688,15,0
2026-07-16T02:30:00.000Z,29688.25,3,0
2026-07-16T02:30:00.000Z,29688.5,9,0
2026-07-16T02:30:00.000Z,29688.75,6,0
2026-07-16T02:30:00.000Z,29689,12,0
2026-07-16T02:30:00.000Z,29689.25,9,0
2026-07-16T02:30:00.000Z,29689.5,11,0
2026-07-16T02:30:00.000Z,29689.75,7,7
